confusion_set	target	suggestion	sentence
You,Your,you,your	your	You	[your] sincerely  How are you ?  
To,Too,Two,to,too,two	two	too	If it 's not [two] much to ask , could you also tell me how much money I should take with me for food or evening activities at the camp  Looking for you to receive those information ,  Last week I had planned to change my old basketball shoes .  
Quiet,Quite,quiet,quite	quite	quiet	However , this apparently [quite] and relaxed activitie can sometimes turn into a living hell ; you may only be able to go shopping at the weekend and then , if you do go , you will find yourself in the middle of a huge crowd of people , unable to get to any product or even shop and feeling dizzy by the mixture of smells that come from the people .  
You,Your,you,your	you	your	I hope I 've answered all [you] questions and I would be please if mine could also be answered .  
You,Your,you,your	your	You	[your] sincerely ,  How are you ?  
You,Your,you,your	you	your	I am looking for [you] reply .  
You,Your,you,your	you	your	At the end of the month when your husband will receive the bill from [you] visa card he will have an heart-attack !  
Were,Where,were,where	were	where	After they caught me I think they brought me to the Area 57 , [were] the police do experiments .  
Life,Live,life,live	live	life	Also I prefer the Camp California because I have just finish my military service and I got use to [live] in the campus .  
Their,There,They,their,there,they	Their	There	[Their] is two activities .  
Quiet,Quite,quiet,quite	quite	quiet	If it were n't a calm and [quite] public , we would have had troubles .  
To,Too,Two,to,too,two	to	too	I 'm pleased [to] that I 've won the first prize at camp california in the U.S.A during two weeks .  
Quiet,Quite,quiet,quite	quiet	quite	I 've been practicing this sport since 5 years , so I 'm [quiet] good .  
Were,Where,were,where	where	were	Firstly I found amazing the number of starts and artist who came to the festival although they [where] from only six countries around the world .  
To,Too,Two,to,too,two	to	too	The concerts and the dance show were incredable , except for the classical concert that halled [to] small .  
Were,Where,were,where	were	where	I can go out at night once a week if I tell them [were] I 'm going to be .  
You,Your,you,your	you	your	Answering to [you] question I wo n't change nothing because I think that these are the minimum rules that a theenager have to have to be responsable in a future .  
You,Your,you,your	you	your	For example , you can dance folk be Hamlet in the street , or even sing with some of your friends a nice song from [you] country .  
You,Your,you,your	you	your	I would like to answer to [you] question , please notice that I can travel only in July because only then I can take holidays from my work , after the busy time of month May and June .  
You,Your,you,your	you	your	I thin that it is very dangerous because the famous peple cannot have [you] private life and on the other hand they may suffer from deppresion and sadness which may be lead them to suicide .  
To,Too,Two,to,too,two	to	two	I suggest you [to] try this kind of experience .  
You,Your,you,your	you	your	You should be pride of [you] helping people who suffers , and at the same time you may enjoy yourself !  
Things,things,thinks	thinks	things	I 've done so many [thinks] and between them I went to Glastonbery ( as you know ) !  
Hole,Whole,hole,whole	hole	whole	I met lots of nice and cool people , and what I most enjoyed was the crazy atmospher of the [hole] thing .  
To,Too,Two,to,too,two	to	too	That is a sport that I always want to practise but in France it is [to] expansive .  
Their,There,They,their,there,they	they	there	Then , [they] were not any discounts available for the tickets as it was written on the advertisement .  
You,Your,you,your	your	you	I will be very thankfull if [your] could return me half or some of my money , or even to make the corresponding discount .  
Hole,Whole,hole,whole	hole	whole	Now I 'm very happy because I learned that friends are the most important thing in the [hole] world .  
You,Your,you,your	you	your	I 'm looking forward to receiving [you] reply as soon as possibly .  
advice,advise	advise	advice	But my [advise] for people , who like it so much that can not help doing it , is to try shopping in the afternoon , at this hour no-one do shopping and if there are some shops that are closed you can always go to a shopping mall .  
Their,There,They,their,there,they	They	There	[They] are also the lessons which English and other foreigners are particularlly curious in .  
You,Your,you,your	you	your	In conclusion , besides all mentioned , I highly recommond [you] video students ' daily life and interview them .  
Their,There,They,their,there,they	they	there	I think the people who are enjoying shopping [they] are greede for materialistic things and they hav n't interests for spirit ( ? ) , intelect life .  
Which,Witch,which,witch	witch	which	When the show started Danny Brook was not acting , [witch] was a great dissapointment for us both .  
To,Too,Two,to,too,two	to	too	In conclusion I would like to say that modern technology is offering to the humanity [to] many things , some of them are good and some others are not so good .  
Life,Live,life,live	live	life	Despite his way of [live] , his best friend was Anna , the most popular girl in the school .  
Life,Live,life,live	live	life	She explained everything what happened in her [live] to Pat .  
Life,Live,life,live	live	life	When Pat was 16 , he decided to change his way of [live] , spending more time with friends , but what he could do to have some friends ?  
Than,Then,than,then	than	then	When I wake up I take a shower using eletricity then I prepare my breakfast in the oven then I go to school by bus , when I arrive at home I put my lunch in the microwave [than] I watch t.v.
To,Too,Two,to,too,two	too	two	Comparing these [too] realities the reader can notice that modern technology changed very much our daily life .  
Than,Then,than,then	then	than	As for accomodation I would prefer log cabins , because I belive they are more comfortable [then] tents .  
You,Your,you,your	your	you	I would like to asking some information about that what kind of clothes I have to wearing and how many [your] are charge .  
Their,There,They,their,there,they	there	they	Although [there] were finished two people , next was me , something was happened .  
Their,There,They,their,there,they	there	their	In our class , we do n't have problem with students who dislike to work , because we are all there for the same reasons and nobody wants to say [there] years and years .  
You,Your,you,your	your	You	[your] sincerily  I 'm very sorry I have n't written you for such a long time
Life,Live,life,live	life	live	Nowadays , there is a lot of people that [life] only with the money they get in advertisments , reports about their last romance , ... but not everyone does the same .  
Hole,Whole,hole,whole	hole	whole	and so I was laying down the [hole] weekend .  
Hole,Whole,hole,whole	hole	whole	After reading the [hole] organized programme , we all agreed about the sightseeing by bus around London wich will give us the knowledge about this fantastic city we all want to meet since time ago .  
Quiet,Quite,quiet,quite	quiet	quite	In fact , I soon practice tennis and I am [quiet] good at , and it will the occasion to train myself surfing is completely unknown for me and I hope that I will like it .  
Word,World,word,world	world	word	What does means the [world] " shopping " ?  I live and I need different goods for survive .  
Their,There,They,their,there,they	There	Their	[There] problems were ; Firstly , the famous actors Danny Brook and Tina Truelove were n't there for your musical show , I was unhappy to constat that it was different actors this evening .  
You,Your,you,your	your	you	so we ca n't find what we are looking for with calm because everybody is pushing you to the other place that you want to go  First of all I would like to say thanks for your letter and [your] care about your customers .  
You,Your,you,your	you	your	You 've just finished your long hours at work , [you] tide , you had row with your boss but you are still going to do shopping .  
Lead,Led,lead,led	led	lead	On the other hand , the excess of comodity can [led] us , in the future , to a completely " cold " world , because of the distance between people that can be caused .  
To,Too,Two,to,too,two	two	to	About the different activities we like them all , but If I choose [two] I take sailing and tennis .  
Their,There,They,their,there,they	there	their	Some other work what I have done was to lead the people to [there] places .  
advice,advise	advise	advice	There were some people they gave me some [advise] to clean the face and etc .  
advice,advise	advise	advice	Because I do n't like to give some [advise] it 's can be willy boring .  
Life,Live,life,live	live	life	I had the best expreience in my [live] .  
Word,World,word,world	word	world	It should be done show so people can see how people in every corner of the [word] make theyr own fun .  
Than,Then,than,then	then	than	It 's believed that English schools look different and have different rules [then] Polish schools but may be we might find sth incomon ? !  
Their,There,They,their,there,they	there	they	Finally I 'd like to ask you some questions , [there] are mainly small details .  
Their,There,They,their,there,they	there	their	I 'm sure that if you listen to it you will start reading the book immediately , and find out [there] many challenges for your new carreer .  
You,Your,you,your	you	your	I am writing to [you] inconnection with your programme of spending three days in London .  
You,Your,you,your	you	your	You should spend more money on buying clothes and food , you will very happy when you buy it , but , when you come back home take out [you] purse , you must be feel sad , you purse nearly empty , ( when you do n't have enough money . )  
You,Your,you,your	you	your	You should spend more money on buying clothes and food , you will very happy when you buy it , but , when you come back home take out you purse , you must be feel sad , [you] purse nearly empty , ( when you do n't have enough money . )  
You,Your,you,your	you	your	a lot of thief there , they will steal [you] money , that 's so dangerous .  
Their,There,They,their,there,they	they	there	I do n't understand why [they] was a lot of people .  
Than,Then,than,then	then	than	Can i say more [then] two weeks if i like it ?  How much money i should take there ?  
Word,World,word,world	word	world	Anyway I am hard working for the [word] cup at sailing .  
Effects,affects,effects	affects	effects	I think that our lives are lives with technology , they sometimes mean the same as science and [affects] not on at each other but together .  
You,Your,you,your	your	you	I am writing to [your] about the trip in London .  
You,Your,you,your	you	your	According to me , you ca n't deserve to have a private life when you 're famous because when to start [you] career you know that medias will be hunting you everywhere and more famous you get worst it is going to be because that the life style people wants to know everything , for instance , about their favourite actor or about their president..
You,Your,you,your	you	your	I was pleased to recieve [you] letter ricently .  
Than,Then,than,then	then	than	If I had a choice , I would prefer to live in tent [then] in a log cabin .  
To,Too,Two,to,too,two	too	to	You can give the possibility to the students [too] choose between go shopping or go to the show .  
Quiet,Quite,quiet,quite	quiet	quite	You have to be [quiet] an attention in class if you would n't to be punished .  
Life,Live,life,live	live	life	Internet is a good way of meeting people that are far from us , we can also inform ourselves on what happens in [live] , or search for special leisure with a quick result .  
Their,There,They,their,there,they	they	there	On the developpement , they also said that [they] will be a discount for students who are between eighteen and twenty-five years old but it was totally wrong because I paid the full price which was £ 20 .  
Than,Then,than,then	than	then	It was very hurt , my friend rushed to me [than] ran back to my house and called Mom .  
Things,things,thinks	thinks	things	Many [thinks] have changed within the last 100 years .  
Their,There,They,their,there,they	they	there	Those things can and do make our lifes easier and more comfortable , but the call us away from our friends , our families and more over [they] lead us to madness and cut any relantionship with everything that suround us and keep us in life .  
Were,Where,were,where	where	were	Among all these the theatre restaurant was closed , because the shef and the waiters [where] on holiday .  
You,Your,you,your	you	your	However , shopping is nice to spend [you] leisure time and give yourself to relax sometimes , but suggest that never in the weekend .  
You,Your,you,your	your	you	I 've attened [your] shown on one of the evening , during my stay in London .  
You,Your,you,your	you	your	It would provide you with a new type of material to cover [you] body and you can chosse what you want to wear by pressing bottons .  
You,Your,you,your	you	your	and while I was spending some days in London I could see [you] advertisement so I decided to go to see it .  
You,Your,you,your	your	you	I hope [your] answer soon .  
To,Too,Two,to,too,two	to	two	I have gone out to the street and I have asked [to] people for this question .  
Except,accept,except	except	accept	I would be grateful to [except] this prize .  
loose,lose	loose	lose	Consequently I ask you for some money back seeing that I think : it 's not worth the bother to [loose] money for such a show.
Their,There,They,their,there,they	they	their	People have always looked for the most comfortable clothes for [they] daily life .  
Country,County,country,county	county	country	One cold day , Hungbu saw a bird that had a broken wing , so the bird could n't fly to the warmer [county] during the winter .  
Peace,Piece,peace,piece	piece	peace	It is bad for the world 's [piece] .  
Peace,Piece,peace,piece	piece	peace	I think we should use the technology for the [piece] and use it for our fortune .  
To,Too,Two,to,too,two	too	to	As I was spending a week-end in London I took a chance [too] see the performance of one of my favourite actors , Danny Brook .  
